## File name in ImageNet        # File name in Caltech256
n04090263/n04090263_2592.JPEG   # 001.ak47/001_0085.jpg
n02133161/n02133161_3419.JPEG   # 009.bear/009_0006.jpg
n02133161/n02133161_2744.JPEG   # 009.bear/009_0022.jpg
n02841315/n02841315_20278.JPEG  # 012.binoculars/012_0002.jpg
n02841315/n02841315_19918.JPEG  # 012.binoculars/012_0019.jpg
n02692877/n02692877_13415.JPEG  # 014.blimp/014_0025.jpg
n04392985/n04392985_8836.JPEG   # 016.boom-box/016_0001.jpg
n02978881/n02978881_5397.JPEG   # 016.boom-box/016_0038.jpg
n02281406/n02281406_1847.JPEG   # 024.butterfly/024_0025.jpg
n03485407/n03485407_163.JPEG    # 027.calculator/027_0087.jpg
n02437312/n02437312_6727.JPEG   # 028.camel/028_0007.jpg
n02437312/n02437312_1318.JPEG   # 028.camel/028_0073.jpg
n02437312/n02437312_2854.JPEG   # 028.camel/028_0096.jpg
n02950826/n02950826_5189.JPEG   # 029.cannon/029_0015.jpg
n02951358/n02951358_11867.JPEG  # 030.canoe/030_0006.jpg
n02951358/n02951358_13098.JPEG  # 030.canoe/030_0045.jpg
n02974003/n02974003_2778.JPEG   # 031.car-tire/031_0049.jpg
n01784675/n01784675_11142.JPEG  # 034.centipede/034_0016.jpg
n01784675/n01784675_4.JPEG      # 034.centipede/034_0049.jpg
n01784675/n01784675_7028.JPEG   # 034.centipede/034_0053.jpg
n01784675/n01784675_9339.JPEG   # 034.centipede/034_0067.jpg
n01784675/n01784675_2794.JPEG   # 034.centipede/034_0080.jpg
n01784675/n01784675_5999.JPEG   # 034.centipede/034_0081.jpg
n02481823/n02481823_3454.JPEG   # 038.chimp/038_0003.jpg
n02481823/n02481823_6163.JPEG   # 038.chimp/038_0017.jpg
n02481823/n02481823_20669.JPEG  # 038.chimp/038_0107.jpg
n02233338/n02233338_16822.JPEG  # 040.cockroach/040_0018.jpg
n02233338/n02233338_12193.JPEG  # 040.cockroach/040_0072.jpg
n02233338/n02233338_13273.JPEG  # 040.cockroach/040_0104.jpg
n03063599/n03063599_2218.JPEG   # 041.coffee-mug/041_0024.jpg
n01943899/n01943899_9400.JPEG   # 048.conch/048_0030.jpg
n01943899/n01943899_3935.JPEG   # 048.conch/048_0044.jpg
n01943899/n01943899_333.JPEG    # 048.conch/048_0072.jpg
n01981276/n01981276_4001.JPEG   # 052.crab-101/052_0001.jpg
n01980166/n01980166_428.JPEG    # 052.crab-101/052_0011.jpg
n01981276/n01981276_16680.JPEG  # 052.crab-101/052_0034.jpg
n01978287/n01978287_2484.JPEG   # 052.crab-101/052_0036.jpg
n02106550/n02106550_1535.JPEG   # 056.dog/056_0066.jpg
n02790996/n02790996_957.JPEG    # 061.dumb-bell/061_0032.jpg
n03255030/n03255030_3114.JPEG   # 061.dumb-bell/061_0032.jpg
n02790996/n02790996_16091.JPEG  # 061.dumb-bell/061_0049.jpg
n03255030/n03255030_4921.JPEG   # 061.dumb-bell/061_0093.jpg
n03272010/n03272010_3989.JPEG   # 063.electric-guitar-101/063_0005.jpg
n03272010/n03272010_1067.JPEG   # 063.electric-guitar-101/063_0006.jpg
n02504458/n02504458_188.JPEG    # 064.elephant-101/064_0012.jpg
n02504458/n02504458_298.JPEG    # 064.elephant-101/064_0043.jpg
n04552348/n04552348_1776.JPEG   # 069.fighter-jet/069_0057.jpg
n03345487/n03345487_8174.JPEG   # 072.fire-truck/072_0002.jpg
n03345487/n03345487_10066.JPEG  # 072.fire-truck/072_0005.jpg
n03345487/n03345487_6812.JPEG   # 072.fire-truck/072_0039.jpg
n03345487/n03345487_10193.JPEG  # 072.fire-truck/072_0080.jpg
n03345487/n03345487_4520.JPEG   # 072.fire-truck/072_0088.jpg
n03345487/n03345487_16628.JPEG  # 072.fire-truck/072_0116.jpg
n03394916/n03394916_54366.JPEG  # 077.french-horn/077_0011.jpg
n03394916/n03394916_23108.JPEG  # 077.french-horn/077_0024.jpg
n03394916/n03394916_14349.JPEG  # 077.french-horn/077_0026.jpg
n03394916/n03394916_2324.JPEG   # 077.french-horn/077_0028.jpg
n03394916/n03394916_20777.JPEG  # 077.french-horn/077_0053.jpg
n03394916/n03394916_1919.JPEG   # 077.french-horn/077_0085.jpg
n03400231/n03400231_23399.JPEG  # 078.fried-egg/078_0023.jpg
n01644373/n01644373_8588.JPEG   # 080.frog/080_0001.jpg
n01644900/n01644900_1239.JPEG   # 080.frog/080_0062.jpg
n03400231/n03400231_4475.JPEG   # 081.frying-pan/081_0021.jpg
n03425413/n03425413_11325.JPEG  # 083.gas-pump/083_0004.jpg
n03425413/n03425413_7515.JPEG   # 083.gas-pump/083_0010.jpg
n03425413/n03425413_596.JPEG    # 083.gas-pump/083_0011.jpg
n03425413/n03425413_574.JPEG    # 083.gas-pump/083_0048.jpg
n03933933/n03933933_3133.JPEG   # 086.golden-gate-bridge/086_0001.jpg
n01443537/n01443537_4496.JPEG   # 087.goldfish/087_0053.jpg
n01443537/n01443537_1194.JPEG   # 087.goldfish/087_0059.jpg
n01443537/n01443537_14819.JPEG  # 087.goldfish/087_0070.jpg
n03445777/n03445777_75.JPEG     # 088.golf-ball/088_0035.jpg
n03445777/n03445777_10723.JPEG  # 088.golf-ball/088_0040.jpg
n03445777/n03445777_4398.JPEG   # 088.golf-ball/088_0042.jpg
n03445777/n03445777_8544.JPEG   # 088.golf-ball/088_0064.jpg
n03445777/n03445777_2086.JPEG   # 088.golf-ball/088_0072.jpg
n03445777/n03445777_1389.JPEG   # 088.golf-ball/088_0077.jpg
n03445777/n03445777_6451.JPEG   # 088.golf-ball/088_0086.jpg
n01855672/n01855672_4026.JPEG   # 089.goose/089_0023.jpg
n01855672/n01855672_13675.JPEG  # 089.goose/089_0026.jpg
n01855672/n01855672_8125.JPEG   # 089.goose/089_0052.jpg
n02480855/n02480855_20342.JPEG  # 090.gorilla/090_0121.jpg
n02480855/n02480855_9604.JPEG   # 090.gorilla/090_0168.jpg
n02480855/n02480855_9072.JPEG   # 090.gorilla/090_0195.jpg
n02480855/n02480855_36443.JPEG  # 090.gorilla/090_0205.jpg
n02226429/n02226429_3520.JPEG   # 093.grasshopper/093_0009.jpg
n02226429/n02226429_9463.JPEG   # 093.grasshopper/093_0033.jpg
n02226429/n02226429_24518.JPEG  # 093.grasshopper/093_0102.jpg
n03929660/n03929660_12945.JPEG  # 094.guitar-pick/094_0041.jpg
n03494278/n03494278_4795.JPEG   # 097.harmonica/097_0003.jpg
n03494278/n03494278_27386.JPEG  # 097.harmonica/097_0024.jpg
n03494278/n03494278_3172.JPEG   # 097.harmonica/097_0039.jpg
n03494278/n03494278_20491.JPEG  # 097.harmonica/097_0045.jpg
n03494278/n03494278_28093.JPEG  # 097.harmonica/097_0057.jpg
n03494278/n03494278_5602.JPEG   # 097.harmonica/097_0079.jpg
n03494278/n03494278_2790.JPEG   # 097.harmonica/097_0088.jpg
n03495258/n03495258_1227.JPEG   # 098.harp/098_0010.jpg
n03495258/n03495258_4400.JPEG   # 098.harp/098_0017.jpg
n03495258/n03495258_1929.JPEG   # 098.harp/098_0054.jpg
n03495258/n03495258_1934.JPEG   # 098.harp/098_0055.jpg
n03495258/n03495258_5885.JPEG   # 098.harp/098_0073.jpg
n04442312/n04442312_14302.JPEG  # 108.hot-dog/108_0040.jpg
